user_id,skill_id
1,1
1,2
2,3
2,4
3,3
3,2
3,1
4,2
4,3
4,4
5,2
5,4
6,2
6,11
7,2
7,4
8,11
8,4
8,3
8,2
9,2
9,4
10,2
10,3
11,2
11,3
11,4
12,3
12,2
12,4
13,2
13,4
13,3
14,4
14,3
14,2
15,2
15,4
15,3
16,4
16,2
16,3
17,2
17,4
18,3
18,2
18,4
19,3
19,4
19,2
20,2
20,3
20,4
21,3
21,4
22,4
22,3
23,2
23,3
24,22
24,2
25,19
25,2
26,2
26,4
27,4
27,2
28,19
28,2
29,4
29,2
29,19
30,2
30,19
30,4
30,3
31,3
31,2
31,4
32,4
32,3
32,2
33,4
33,27
33,3
34,27
34,2
35,27
35,3
36,27
36,4
36,3
36,2
37,4
37,2
37,3
38,28
38,4
38,2
39,3
39,28
40,2
40,4
40,3
40,28
