internship_id,skill_id
1,1
1,2
1,3
1,4
1,5
1,6
2,1
2,2
2,3
2,4
2,5
2,6
3,2
3,3
3,4
3,10
3,11
3,12
3,13
4,2
4,3
4,4
4,10
4,11
4,12
4,13
5,3
5,14
5,15
5,16
5,17
5,2
5,4
5,18
6,3
6,14
6,15
6,16
6,17
6,2
6,4
6,18
7,2
7,3
7,4
7,15
7,6
8,2
8,3
8,4
8,15
8,6
9,2
9,3
9,4
9,19
9,20
9,21
9,16
9,17
10,2
10,3
10,4
10,19
10,20
10,21
10,16
10,17
11,2
11,3
11,4
11,22
11,23
12,2
12,3
12,4
12,22
12,23
13,3
13,24
13,4
13,2
13,19
14,3
14,24
14,4
14,2
14,19
15,2
15,3
15,4
15,10
15,25
15,19
15,26
16,2
16,3
16,4
16,10
16,25
16,19
16,26
17,2
17,3
17,4
17,19
17,27
17,21
18,2
18,3
18,4
18,19
18,27
18,21
19,28
19,2
19,3
19,4
19,19
20,28
20,2
20,3
20,4
20,19
