internship_description,applied_count,total_count,benefits,title,field,district,state,max_stipend,min_stipend,duration,sector,posting_time,company_id,external_id,id
"This internship focuses on java, spring_boot, sql and related frontend development tasks.",23,28,"['Exposure to R&D', 'Travel allowance', 'Mentorship']",Spring Boot Backend Intern,Frontend development,Chennai,Tamil Nadu,2738.0,1344.0,7months,Technology,2024-07-25 00:00:00,17,21,21
"This internship focuses on java, spring_boot, sql and related frontend development tasks.",12,14,"['Mentorship', 'Stipend', 'Employee discount']",Java Backend Developer Intern,Frontend development,Dewas,Madhya Pradesh,1491.0,358.0,8months,Technology,2025-03-27 00:00:00,10,22,22
"This internship focuses on java, spring_boot, sql and related frontend development tasks.",13,24,"['Employee discount', 'Exposure to Banking']",Backend Software Engineer Intern - Java,Frontend development,Mathura,Uttar Pradesh,3498.0,614.0,4months,Technology,2024-08-19 00:00:00,17,23,23
"This internship focuses on java, spring_boot, sql and related frontend development tasks.",18,22,"['Meals', 'Exposure to Banking', 'Mentorship']",Java Server-Side Development Intern,Frontend development,Sikar,Rajasthan,14485.0,668.0,8months,Technology,2025-04-11 00:00:00,15,24,24
"This internship focuses on java, spring, jdbc and related frontend development tasks.",6,8,"['Travel allowance', 'Stipend', 'Employee discount', 'Exposure to R&D']",Backend Software Engineer Intern - Java,Frontend development,Jaipur,Rajasthan,3411.0,484.0,7months,Technology,2025-05-15 00:00:00,18,25,25
"This internship focuses on java, spring, jdbc and related frontend development tasks.",17,18,"['Letter of Recommendation', 'Certificate', 'Meals', 'Accommodation']",Java Server-Side Development Intern,Frontend development,Hyderabad,Telangana,11242.0,4687.0,6months,Technology,2024-10-23 00:00:00,2,26,26
"This internship focuses on java, rest_api, swagger and related frontend development tasks.",0,10,"['Meals', 'Stipend', 'Exposure to R&D']",Java Server-Side Development Intern,Frontend development,Ernakulam,Kerala,14220.0,3691.0,6months,Technology,2025-02-18 00:00:00,11,27,27
"This internship focuses on java, rest_api, swagger and related frontend development tasks.",6,5,"['Exposure to Banking', 'Travel allowance']",REST API Developer (Java) Intern,Frontend development,Bardhaman,West Bengal,9129.0,3115.0,3months,Technology,2025-08-19 00:00:00,9,28,28
"This internship focuses on java, hibernate, jpa and related frontend development tasks.",25,26,"['Equity Consideration', 'Letter of Recommendation', 'Certificate']",Java Server-Side Development Intern,Frontend development,Nizamabad,Telangana,259.0,80.0,7months,Technology,2025-07-28 00:00:00,4,29,29
"This internship focuses on java, hibernate, jpa and related frontend development tasks.",0,7,"['PPE Provided', 'Letter of Recommendation']",REST API Developer (Java) Intern,Frontend development,Jalgaon,Maharashtra,14022.0,3685.0,7months,Technology,2025-11-07 00:00:00,18,30,30
"This internship focuses on java, spring_boot, pagination and related frontend development tasks.",12,14,['Certificate'],Backend Software Engineer Intern - Java,Frontend development,Sikar,Rajasthan,9433.0,3315.0,6months,Technology,2025-05-18 00:00:00,14,31,31
"This internship focuses on java, spring_boot, pagination and related frontend development tasks.",1,28,['Employee discount'],Backend Software Engineer Intern - Java,Frontend development,Thrissur,Kerala,1066.0,253.0,7months,Technology,2025-08-02 00:00:00,2,32,32
"This internship focuses on java, sql, indexing and related frontend development tasks.",12,29,"['Employee discount', 'Certificate', 'PPE Provided', 'Exposure to R&D']",Spring Boot Backend Intern,Frontend development,Nizamabad,Telangana,4765.0,964.0,4months,Technology,2024-06-27 00:00:00,15,33,33
"This internship focuses on java, sql, indexing and related frontend development tasks.",10,25,"['Exposure to Banking', 'Accommodation', 'Letter of Recommendation', 'PPE Provided', 'Mentorship']",Spring Boot Backend Intern,Frontend development,Meerut,Uttar Pradesh,7634.0,1331.0,5months,Technology,2024-10-31 00:00:00,8,34,34
"This internship focuses on java, spring_boot, exception_handling and related frontend development tasks.",4,7,"['Accommodation', 'Letter of Recommendation', 'Equity Consideration']",Backend Software Engineer Intern - Java,Frontend development,Meerut,Uttar Pradesh,12426.0,2620.0,4months,Technology,2024-03-22 00:00:00,18,35,35
"This internship focuses on java, spring_boot, exception_handling and related frontend development tasks.",17,17,"['Travel allowance', 'PPE Provided', 'Hands-on training', 'Accommodation']",REST API Developer (Java) Intern,Frontend development,Bengaluru Rural,Karnataka,2945.0,271.0,4months,Technology,2024-06-28 00:00:00,15,36,36
"This internship focuses on java, spring_boot, security and related frontend development tasks.",19,27,"['Exposure to R&D', 'Mentorship', 'Hands-on training', 'Employee discount']",Java Backend Developer Intern,Frontend development,Shivamogga,Karnataka,3369.0,1482.0,8months,Technology,2024-09-08 00:00:00,12,37,37
"This internship focuses on java, spring_boot, security and related frontend development tasks.",2,20,"['Certificate', 'Accommodation', 'Mentorship', 'Employee discount', 'Exposure to Banking']",Java Backend Developer Intern,Frontend development,Nagpur,Maharashtra,2834.0,148.0,5months,Technology,2025-03-23 00:00:00,8,38,38
"This internship focuses on java, rest_api, microservices and related frontend development tasks.",4,6,"['Mentorship', 'Accommodation', 'Employee discount', 'Travel allowance', 'Equity Consideration']",Spring Boot Backend Intern,Frontend development,Ballari,Karnataka,757.0,313.0,3months,Technology,2025-01-13 00:00:00,3,39,39
"This internship focuses on java, rest_api, microservices and related frontend development tasks.",19,23,"['Exposure to R&D', 'Hands-on training']",Java Backend Developer Intern,Frontend development,Hyderabad,Telangana,10177.0,1655.0,5months,Technology,2024-12-02 00:00:00,10,40,40
