internship_id,skill_id
21,5
21,29
21,30
21,31
21,32
22,5
22,29
22,30
22,31
22,32
23,5
23,29
23,30
23,33
23,34
24,5
24,29
24,30
24,33
24,34
25,5
25,35
25,36
25,30
25,37
26,5
26,35
26,36
26,30
26,37
27,5
27,32
27,38
27,39
28,5
28,32
28,38
28,39
29,5
29,31
29,40
29,30
30,5
30,31
30,40
30,30
31,5
31,29
31,41
31,42
32,5
32,29
32,41
32,42
33,5
33,30
33,43
33,44
34,5
34,30
34,43
34,44
35,5
35,29
35,45
36,5
36,29
36,45
37,5
37,29
37,46
37,33
38,5
38,29
38,46
38,33
39,5
39,32
39,47
39,30
40,5
40,32
40,47
40,30
