internship_description,applied_count,total_count,benefits,title,field,district,state,max_stipend,min_stipend,duration,sector,posting_time,company_id,external_id,id
"This internship focuses on java, spring_boot, html and related frontend development tasks.",1,6,"['Letter of Recommendation', 'Hands-on training', 'Stipend']",Java + Frontend Integration Intern,"['j a v a ', ' f u l l ', ' s t a c k ', ' d e v e l o p m e n t']",Jodhpur,Rajasthan,10246.0,2870.0,6months,Technology,2025-09-08 00:00:00,1,41,41
"This internship focuses on java, spring_boot, html and related frontend development tasks.",2,17,"['Employee discount', 'Stipend', 'Meals', 'Exposure to R&D', 'Mentorship']",Enterprise Java Application Intern,"['j a v a ', ' f u l l ', ' s t a c k ', ' d e v e l o p m e n t']",Bareilly,Uttar Pradesh,12162.0,4054.0,4months,Technology,2024-05-25 00:00:00,9,42,42
"This internship focuses on java, spring_boot, react and related frontend development tasks.",29,29,['Stipend'],Java Web Development Intern,"['j a v a ', ' f u l l ', ' s t a c k ', ' d e v e l o p m e n t']",Malappuram,Kerala,7682.0,3150.0,8months,Technology,2025-09-19 00:00:00,11,43,43
"This internship focuses on java, spring_boot, react and related frontend development tasks.",13,13,"['Employee discount', 'Certificate', 'PPE Provided']",Java Full Stack Developer Intern,"['j a v a ', ' f u l l ', ' s t a c k ', ' d e v e l o p m e n t']",Karimnagar,Telangana,2496.0,617.0,3months,Technology,2025-09-29 00:00:00,19,44,44
"This internship focuses on java, jsp, servlets and related frontend development tasks.",20,22,"['Travel allowance', 'Letter of Recommendation']",J2EE Developer Intern,"['j a v a ', ' f u l l ', ' s t a c k ', ' d e v e l o p m e n t']",Mumbai,Maharashtra,4791.0,1104.0,7months,Technology,2025-02-02 00:00:00,12,45,45
"This internship focuses on java, jsp, servlets and related frontend development tasks.",26,31,"['Accommodation', 'Letter of Recommendation']",Java + Frontend Integration Intern,"['j a v a ', ' f u l l ', ' s t a c k ', ' d e v e l o p m e n t']",Bengaluru Rural,Karnataka,508.0,225.0,7months,Technology,2025-06-05 00:00:00,20,46,46
"This internship focuses on java, spring, jsp and related frontend development tasks.",1,13,"['Travel allowance', 'Stipend']",Java Web Development Intern,"['j a v a ', ' f u l l ', ' s t a c k ', ' d e v e l o p m e n t']",Udaipur,Rajasthan,12956.0,5520.0,6months,Technology,2025-11-22 00:00:00,7,47,47
"This internship focuses on java, spring, jsp and related frontend development tasks.",9,17,"['Accommodation', 'Travel allowance', 'Certificate']",J2EE Developer Intern,"['j a v a ', ' f u l l ', ' s t a c k ', ' d e v e l o p m e n t']",Rangareddy,Telangana,10289.0,3039.0,7months,Technology,2025-07-20 00:00:00,15,48,48
"This internship focuses on java, html, css and related frontend development tasks.",1,5,"['Exposure to R&D', 'Mentorship']",J2EE Developer Intern,"['j a v a ', ' f u l l ', ' s t a c k ', ' d e v e l o p m e n t']",Bardhaman,West Bengal,4090.0,1348.0,3months,Technology,2025-02-07 00:00:00,6,49,49
"This internship focuses on java, html, css and related frontend development tasks.",0,13,['Equity Consideration'],Java Full Stack Developer Intern,"['j a v a ', ' f u l l ', ' s t a c k ', ' d e v e l o p m e n t']",Palakkad,Kerala,1057.0,262.0,3months,Technology,2025-10-09 00:00:00,15,50,50
"This internship focuses on java, spring_boot, angular and related frontend development tasks.",4,17,"['Exposure to R&D', 'Stipend', 'PPE Provided']",Java + Frontend Integration Intern,"['j a v a ', ' f u l l ', ' s t a c k ', ' d e v e l o p m e n t']",Aurangabad,Maharashtra,7571.0,1480.0,4months,Technology,2025-03-25 00:00:00,4,51,51
"This internship focuses on java, spring_boot, angular and related frontend development tasks.",2,13,"['Stipend', 'PPE Provided', 'Travel allowance']",Enterprise Java Application Intern,"['j a v a ', ' f u l l ', ' s t a c k ', ' d e v e l o p m e n t']",Noida,Uttar Pradesh,11959.0,5517.0,6months,Technology,2025-08-25 00:00:00,9,52,52
"This internship focuses on java, jdbc, xml and related frontend development tasks.",20,29,"['Letter of Recommendation', 'Exposure to R&D']",J2EE Developer Intern,"['j a v a ', ' f u l l ', ' s t a c k ', ' d e v e l o p m e n t']",Jaipur,Rajasthan,11534.0,5321.0,7months,Technology,2025-09-25 00:00:00,4,53,53
"This internship focuses on java, jdbc, xml and related frontend development tasks.",3,20,['Travel allowance'],J2EE Developer Intern,"['j a v a ', ' f u l l ', ' s t a c k ', ' d e v e l o p m e n t']",Salem,Tamil Nadu,8553.0,1075.0,9months,Technology,2025-11-12 00:00:00,15,54,54
"This internship focuses on java, spring_core, oop and related frontend development tasks.",23,25,"['Mentorship', 'Accommodation', 'Exposure to Banking', 'Stipend', 'Letter of Recommendation']",J2EE Developer Intern,"['j a v a ', ' f u l l ', ' s t a c k ', ' d e v e l o p m e n t']",Mahbubnagar,Telangana,4005.0,1692.0,7months,Technology,2025-12-29 00:00:00,12,55,55
"This internship focuses on java, spring_core, oop and related frontend development tasks.",0,9,"['Letter of Recommendation', 'Travel allowance', 'Meals', 'PPE Provided']",Java Web Development Intern,"['j a v a ', ' f u l l ', ' s t a c k ', ' d e v e l o p m e n t']",Kanchipuram,Tamil Nadu,9526.0,3245.0,7months,Technology,2025-08-31 00:00:00,13,56,56
