requirements_responsibilities_description,max_experience,min_experience,min_qualification_rank,mode,stream,specialization,external_id,internship_id
"Required skills: java, spring_boot, html, css, javascript. Must-have skills: java, html, css. Interns will be responsible for tasks involving java, spring_boot, html and assisting in related projects to gain hands-on experience.",1,0,4,Onsite,CS,Software Engineering & Development,41,41
"Required skills: java, spring_boot, html, css, javascript. Must-have skills: java, html, css. Interns will be responsible for tasks involving java, spring_boot, html and assisting in related projects to gain hands-on experience.",2,3,4,Remote,CS,Software Engineering & Development,42,42
"Required skills: java, spring_boot, react, rest_api. Must-have skills: java, spring_boot. Interns will be responsible for tasks involving java, spring_boot, react and assisting in related projects to gain hands-on experience.",1,1,5,Onsite,CS,Data Science & Big Data Analytics,43,43
"Required skills: java, spring_boot, react, rest_api. Must-have skills: java, spring_boot. Interns will be responsible for tasks involving java, spring_boot, react and assisting in related projects to gain hands-on experience.",1,1,5,Onsite,CS,Any,44,44
"Required skills: java, jsp, servlets, jdbc. Must-have skills: java, servlets. Interns will be responsible for tasks involving java, jsp, servlets and assisting in related projects to gain hands-on experience.",2,3,5,Onsite,CS,Cloud Computing & DevOps,45,45
"Required skills: java, jsp, servlets, jdbc. Must-have skills: java, servlets. Interns will be responsible for tasks involving java, jsp, servlets and assisting in related projects to gain hands-on experience.",1,2,6,Remote,CS,Any,46,46
"Required skills: java, spring, jsp, sql. Must-have skills: java, spring. Interns will be responsible for tasks involving java, spring, jsp and assisting in related projects to gain hands-on experience.",1,1,6,Hybrid,CS,Any,47,47
"Required skills: java, spring, jsp, sql. Must-have skills: java, spring. Interns will be responsible for tasks involving java, spring, jsp and assisting in related projects to gain hands-on experience.",4,5,6,Remote,CS,Any,48,48
"Required skills: java, html, css, javascript, sql. Must-have skills: java, html, css. Interns will be responsible for tasks involving java, html, css and assisting in related projects to gain hands-on experience.",2,3,6,Remote,CS,Software Engineering & Development,49,49
"Required skills: java, html, css, javascript, sql. Must-have skills: java, html, css. Interns will be responsible for tasks involving java, html, css and assisting in related projects to gain hands-on experience.",3,2,4,Remote,CS,Any,50,50
"Required skills: java, spring_boot, angular, rest_api. Must-have skills: java, spring_boot. Interns will be responsible for tasks involving java, spring_boot, angular and assisting in related projects to gain hands-on experience.",1,2,4,Remote,CS,Data Science & Big Data Analytics,51,51
"Required skills: java, spring_boot, angular, rest_api. Must-have skills: java, spring_boot. Interns will be responsible for tasks involving java, spring_boot, angular and assisting in related projects to gain hands-on experience.",2,0,3,Onsite,CS,Data Science & Big Data Analytics,52,52
"Required skills: java, jdbc, xml, design_patterns. Must-have skills: java, jdbc. Interns will be responsible for tasks involving java, jdbc, xml and assisting in related projects to gain hands-on experience.",3,2,3,Remote,CS,Software Engineering & Development,53,53
"Required skills: java, jdbc, xml, design_patterns. Must-have skills: java, jdbc. Interns will be responsible for tasks involving java, jdbc, xml and assisting in related projects to gain hands-on experience.",4,1,3,Remote,CS,Any,54,54
"Required skills: java, spring_core, oop, sql. Must-have skills: java, oop. Interns will be responsible for tasks involving java, spring_core, oop and assisting in related projects to gain hands-on experience.",3,4,6,Remote,CS,Software Engineering & Development,55,55
"Required skills: java, spring_core, oop, sql. Must-have skills: java, oop. Interns will be responsible for tasks involving java, spring_core, oop and assisting in related projects to gain hands-on experience.",1,1,6,Onsite,CS,Any,56,56
"Required skills: java, spring, html, css. Must-have skills: java, spring. Interns will be responsible for tasks involving java, spring, html and assisting in related projects to gain hands-on experience.",2,3,4,Remote,CS,Any,57,57
"Required skills: java, spring, html, css. Must-have skills: java, spring. Interns will be responsible for tasks involving java, spring, html and assisting in related projects to gain hands-on experience.",1,1,4,Onsite,CS,Any,58,58
"Required skills: java, jsp, servlets, sql. Must-have skills: java, jsp. Interns will be responsible for tasks involving java, jsp, servlets and assisting in related projects to gain hands-on experience.",4,1,4,Hybrid,CS,Any,59,59
"Required skills: java, jsp, servlets, sql. Must-have skills: java, jsp. Interns will be responsible for tasks involving java, jsp, servlets and assisting in related projects to gain hands-on experience.",2,1,3,Remote,CS,Software Engineering & Development,60,60
