internship_description,applied_count,total_count,benefits,title,field,district,state,max_stipend,min_stipend,duration,sector,posting_time,company_id,external_id,id
"This internship focuses on java, microservices, Docker and related frontend development tasks.",8,7,['Equity Consideration'],Java Cloud Development Intern,"['j a v a ', ' s p e c i a l i z e d ', ' i n t e r n s h i p s']",Wayanad,Kerala,2505.0,731.0,3months,Technology,2024-04-10 00:00:00,10,61,61
"This internship focuses on java, microservices, Docker and related frontend development tasks.",21,31,['Meals'],Java Microservices Intern,"['j a v a ', ' s p e c i a l i z e d ', ' i n t e r n s h i p s']",Medinipur,West Bengal,3906.0,709.0,8months,Technology,2025-05-26 00:00:00,15,62,62
"This internship focuses on java, aws, spring_boot and related frontend development tasks.",16,15,"['Certificate', 'Meals', 'Travel allowance']",Java Automation & Testing Intern,"['j a v a ', ' s p e c i a l i z e d ', ' i n t e r n s h i p s']",Noida,Uttar Pradesh,910.0,365.0,6months,Technology,2024-05-27 00:00:00,8,63,63
"This internship focuses on java, aws, spring_boot and related frontend development tasks.",5,14,"['Letter of Recommendation', 'Employee discount', 'Hands-on training', 'Travel allowance']",Java Microservices Intern,"['j a v a ', ' s p e c i a l i z e d ', ' i n t e r n s h i p s']",Chennai,Tamil Nadu,3969.0,1355.0,4months,Technology,2025-02-28 00:00:00,20,64,64
"This internship focuses on java, junit, mockito and related frontend development tasks.",6,31,['Exposure to Banking'],Java Microservices Intern,"['j a v a ', ' s p e c i a l i z e d ', ' i n t e r n s h i p s']",Satna,Madhya Pradesh,5555.0,2191.0,8months,Technology,2024-11-06 00:00:00,19,65,65
"This internship focuses on java, junit, mockito and related frontend development tasks.",7,10,['Certificate'],Java DevOps Intern,"['j a v a ', ' s p e c i a l i z e d ', ' i n t e r n s h i p s']",Alwar,Rajasthan,8477.0,1209.0,6months,Technology,2024-10-02 00:00:00,19,66,66
"This internship focuses on java, selenium, automation and related frontend development tasks.",8,11,"['Certificate', 'Exposure to R&D', 'Mentorship']",Java Data Engineering Intern,"['j a v a ', ' s p e c i a l i z e d ', ' i n t e r n s h i p s']",Dewas,Madhya Pradesh,5232.0,2519.0,6months,Technology,2024-03-20 00:00:00,3,67,67
"This internship focuses on java, selenium, automation and related frontend development tasks.",0,10,"['Stipend', 'Meals', 'Employee discount', 'Equity Consideration']",Java Automation & Testing Intern,"['j a v a ', ' s p e c i a l i z e d ', ' i n t e r n s h i p s']",Howrah,West Bengal,14212.0,4321.0,3months,Technology,2024-08-18 00:00:00,1,68,68
"This internship focuses on java, sql, spark and related frontend development tasks.",10,14,"['Employee discount', 'Letter of Recommendation', 'Meals', 'Travel allowance']",Java Automation & Testing Intern,"['j a v a ', ' s p e c i a l i z e d ', ' i n t e r n s h i p s']",Tiruchirappalli,Tamil Nadu,6493.0,2528.0,9months,Technology,2025-05-01 00:00:00,5,69,69
"This internship focuses on java, sql, spark and related frontend development tasks.",0,11,"['Accommodation', 'Exposure to Banking', 'Equity Consideration', 'Employee discount', 'Exposure to R&D']",Java DevOps Intern,"['j a v a ', ' s p e c i a l i z e d ', ' i n t e r n s h i p s']",Malda,West Bengal,6224.0,2448.0,5months,Technology,2024-05-07 00:00:00,1,70,70
"This internship focuses on java, multithreading, jvm and related frontend development tasks.",2,8,"['Accommodation', 'Certificate', 'Meals']",Java Cloud Development Intern,"['j a v a ', ' s p e c i a l i z e d ', ' i n t e r n s h i p s']",Kanchipuram,Tamil Nadu,13880.0,2026.0,4months,Technology,2025-03-14 00:00:00,13,71,71
"This internship focuses on java, multithreading, jvm and related frontend development tasks.",5,18,"['Travel allowance', 'Stipend']",Java Microservices Intern,"['j a v a ', ' s p e c i a l i z e d ', ' i n t e r n s h i p s']",Bengaluru Urban,Karnataka,5490.0,616.0,3months,Technology,2025-02-15 00:00:00,13,72,72
"This internship focuses on java, Docker, ci_cd and related frontend development tasks.",27,28,"['Meals', 'Exposure to Banking', 'PPE Provided', 'Mentorship']",Java Automation & Testing Intern,"['j a v a ', ' s p e c i a l i z e d ', ' i n t e r n s h i p s']",Pathanamthitta,Kerala,10039.0,3417.0,5months,Technology,2025-12-16 00:00:00,4,73,73
