user_skills,user_experience,internship_field,internship_sector,internship_required_skills,is_selected,max_exp_gap,min_exp_gap,is_exp_in_range,csv_ref_id
"java,mysql,js,framer,css",0,front end development,Technology,"framer,html,css,js,java,mysql",1,3,-1,1,1
"framer,mysql,js",1,front end development,Technology,"framer,html,css,js,java,mysql",1,2,0,1,2
"java,html,css,js,mysql",3,front end development,Technology,"framer,html,css,js,java,mysql",1,0,2,1,3
"html,css,js",3,front end development,Technology,"framer,html,css,js,java,mysql",1,0,2,1,4
"mysql,html,js,framer,css",3,front end development,Technology,"framer,html,css,js,java,mysql",1,0,2,1,5
"mysql,css,js,framer,java",2,front end development,Technology,"framer,html,css,js,java,mysql",1,1,1,1,6
"css,java",2,front end development,Technology,"framer,html,css,js,java,mysql",0,1,1,1,7
"java,mysql,html",4,front end development,Technology,"framer,html,css,js,java,mysql",0,-1,3,1,8
"java,css,framer,mysql,js,html",4,front end development,Technology,"framer,html,css,js,java,mysql",1,-1,3,1,9
"java,html",3,front end development,Technology,"framer,html,css,js,java,mysql",1,0,2,1,10
"css,js,java basics,html,java advanced,jquery",0,front end development,Technology,"html,css,js,jquery,photoshop,java basics,java advanced",1,3,0,1,11
"photoshop,html,java basics,js",3,front end development,Technology,"html,css,js,jquery,photoshop,java basics,java advanced",1,0,3,1,12
"css,java advanced,js,jquery,html",1,front end development,Technology,"html,css,js,jquery,photoshop,java basics,java advanced",1,2,1,1,13
"jquery,java advanced,photoshop",4,front end development,Technology,"html,css,js,jquery,photoshop,java basics,java advanced",1,-1,4,1,14
"java basics,java advanced,css,html,photoshop",0,front end development,Technology,"html,css,js,jquery,photoshop,java basics,java advanced",1,3,0,1,15
"java basics,photoshop",4,front end development,Technology,"html,css,js,jquery,photoshop,java basics,java advanced",0,-1,4,1,16
"java basics,js,html",4,front end development,Technology,"html,css,js,jquery,photoshop,java basics,java advanced",1,-1,4,1,17
"photoshop,java advanced,js",0,front end development,Technology,"html,css,js,jquery,photoshop,java basics,java advanced",0,3,0,1,18
"js,css",0,front end development,Technology,"html,css,js,jquery,photoshop,java basics,java advanced",1,3,0,1,19
"js,css,jquery,html",2,front end development,Technology,"html,css,js,jquery,photoshop,java basics,java advanced",1,1,2,1,20
