user_skills,user_experience,internship_field,internship_sector,internship_required_skills,is_selected,max_exp_gap,min_exp_gap,is_exp_in_range,csv_ref_id
"html,css,javascript",0,java full stack development,Technology,"java,spring_boot,html,css,javascript",0,1,0,1,201
"css,javascript,html",1,java full stack development,Technology,"java,spring_boot,html,css,javascript",0,0,1,1,202
"spring_boot,html,css,javascript",1,java full stack development,Technology,"java,spring_boot,html,css,javascript",0,0,1,1,203
"javascript,html,java,css",1,java full stack development,Technology,"java,spring_boot,html,css,javascript",0,0,1,1,204
"html,spring_boot,javascript",0,java full stack development,Technology,"java,spring_boot,html,css,javascript",0,1,0,1,205
"css,javascript,spring_boot",1,java full stack development,Technology,"java,spring_boot,html,css,javascript",0,0,1,1,206
"spring_boot,javascript,html",1,java full stack development,Technology,"java,spring_boot,html,css,javascript",1,0,1,1,207
"css,spring_boot,java,html,javascript",0,java full stack development,Technology,"java,spring_boot,html,css,javascript",1,1,0,1,208
"spring_boot,java,html,javascript",1,java full stack development,Technology,"java,spring_boot,html,css,javascript",1,0,1,1,209
"javascript,java,css,spring_boot,html",0,java full stack development,Technology,"java,spring_boot,html,css,javascript",1,1,0,1,210
"spring_boot,react",1,java full stack development,Technology,"java,spring_boot,react,rest_api",1,0,1,1,211
"spring_boot,react,java",0,java full stack development,Technology,"java,spring_boot,react,rest_api",1,1,0,1,212
"react,java",0,java full stack development,Technology,"java,spring_boot,react,rest_api",1,1,0,1,213
"spring_boot,react",1,java full stack development,Technology,"java,spring_boot,react,rest_api",0,0,1,1,214
"react,java",1,java full stack development,Technology,"java,spring_boot,react,rest_api",0,0,1,1,215
"rest_api,react,java,spring_boot",0,java full stack development,Technology,"java,spring_boot,react,rest_api",1,1,0,1,216
"java,spring_boot,react",1,java full stack development,Technology,"java,spring_boot,react,rest_api",1,0,1,1,217
"spring_boot,java,rest_api",0,java full stack development,Technology,"java,spring_boot,react,rest_api",1,1,0,1,218
"java,rest_api,spring_boot,react",0,java full stack development,Technology,"java,spring_boot,react,rest_api",1,1,0,1,219
"spring_boot,java,rest_api,react",0,java full stack development,Technology,"java,spring_boot,react,rest_api",1,1,0,1,220
"java,servlets,jsp",0,java full stack development,Technology,"java,jsp,servlets,jdbc",1,1,0,1,221
"java,jdbc,servlets,jsp",1,java full stack development,Technology,"java,jsp,servlets,jdbc",1,0,1,1,222
"jsp,java",1,java full stack development,Technology,"java,jsp,servlets,jdbc",0,0,1,1,223
"servlets,jsp,jdbc",1,java full stack development,Technology,"java,jsp,servlets,jdbc",0,0,1,1,224
"jsp,servlets",1,java full stack development,Technology,"java,jsp,servlets,jdbc",1,0,1,1,225
"jsp,servlets,java,jdbc",0,java full stack development,Technology,"java,jsp,servlets,jdbc",1,1,0,1,226
"servlets,java,jdbc",0,java full stack development,Technology,"java,jsp,servlets,jdbc",1,1,0,1,227
"jsp,servlets,java",1,java full stack development,Technology,"java,jsp,servlets,jdbc",1,0,1,1,228
"java,jdbc,jsp,servlets",0,java full stack development,Technology,"java,jsp,servlets,jdbc",1,1,0,1,229
"servlets,jdbc",0,java full stack development,Technology,"java,jsp,servlets,jdbc",0,1,0,1,230
"java,sql,spring",0,java full stack development,Technology,"java,spring,jsp,sql",1,1,0,1,231
"spring,sql,java",0,java full stack development,Technology,"java,spring,jsp,sql",0,1,0,1,232
"sql,spring,jsp,java",1,java full stack development,Technology,"java,spring,jsp,sql",0,0,1,1,233
"spring,jsp,java,sql",1,java full stack development,Technology,"java,spring,jsp,sql",1,0,1,1,234
"sql,spring,jsp",0,java full stack development,Technology,"java,spring,jsp,sql",1,1,0,1,235
"java,sql,jsp,spring",1,java full stack development,Technology,"java,spring,jsp,sql",1,0,1,1,236
"spring,sql",1,java full stack development,Technology,"java,spring,jsp,sql",1,0,1,1,237
"jsp,java,spring",1,java full stack development,Technology,"java,spring,jsp,sql",1,0,1,1,238
"jsp,spring",0,java full stack development,Technology,"java,spring,jsp,sql",1,1,0,1,239
"jsp,sql,spring,java",0,java full stack development,Technology,"java,spring,jsp,sql",1,1,0,1,240
"sql,css,javascript,html",0,java full stack development,Technology,"java,html,css,javascript,sql",0,0,0,1,241
"javascript,java",0,java full stack development,Technology,"java,html,css,javascript,sql",1,0,0,1,242
