user_skills,user_experience,internship_field,internship_sector,internship_required_skills,is_selected,max_exp_gap,min_exp_gap,is_exp_in_range,csv_ref_id
"rest_api,Docker,java,microservices",2,java specialized internships,Technology,"java,microservices,Docker,rest_api",1,-1,2,1,301
"java,Docker,microservices",0,java specialized internships,Technology,"java,microservices,Docker,rest_api",1,1,0,1,302
"java,Docker,rest_api",0,java specialized internships,Technology,"java,microservices,Docker,rest_api",0,1,0,1,303
"rest_api,microservices,Docker,java",0,java specialized internships,Technology,"java,microservices,Docker,rest_api",1,1,0,1,304
"java,rest_api,microservices",0,java specialized internships,Technology,"java,microservices,Docker,rest_api",1,1,0,1,305
"java,microservices,Docker",0,java specialized internships,Technology,"java,microservices,Docker,rest_api",1,1,0,1,306
"java,microservices,rest_api",0,java specialized internships,Technology,"java,microservices,Docker,rest_api",1,1,0,1,307
"microservices,rest_api,java,Docker",1,java specialized internships,Technology,"java,microservices,Docker,rest_api",1,0,1,1,308
"Docker,microservices",1,java specialized internships,Technology,"java,microservices,Docker,rest_api",0,0,1,1,309
"Docker,microservices,rest_api,java",0,java specialized internships,Technology,"java,microservices,Docker,rest_api",1,1,0,1,310
"java,aws",1,java specialized internships,Technology,"java,aws,spring_boot,Docker",0,0,1,1,311
"java,aws,Docker,spring_boot",1,java specialized internships,Technology,"java,aws,spring_boot,Docker",1,0,1,1,312
"spring_boot,java",2,java specialized internships,Technology,"java,aws,spring_boot,Docker",1,-1,2,1,313
"Docker,java,spring_boot,aws",2,java specialized internships,Technology,"java,aws,spring_boot,Docker",1,-1,2,1,314
"Docker,java,spring_boot",0,java specialized internships,Technology,"java,aws,spring_boot,Docker",1,1,0,1,315
"java,Docker,spring_boot,aws",0,java specialized internships,Technology,"java,aws,spring_boot,Docker",1,1,0,1,316
"Docker,spring_boot,java,aws",0,java specialized internships,Technology,"java,aws,spring_boot,Docker",1,1,0,1,317
"Docker,java,aws,spring_boot",0,java specialized internships,Technology,"java,aws,spring_boot,Docker",1,1,0,1,318
"Docker,aws,java,spring_boot",2,java specialized internships,Technology,"java,aws,spring_boot,Docker",1,-1,2,1,319
"java,spring_boot,Docker",2,java specialized internships,Technology,"java,aws,spring_boot,Docker",1,-1,2,1,320
"java,mockito",2,java specialized internships,Technology,"java,junit,mockito,testing",0,-1,2,1,321
"junit,java,mockito",2,java specialized internships,Technology,"java,junit,mockito,testing",1,-1,2,1,322
"testing,mockito,junit",2,java specialized internships,Technology,"java,junit,mockito,testing",0,-1,2,1,323
"mockito,java",1,java specialized internships,Technology,"java,junit,mockito,testing",1,0,1,1,324
"java,mockito,testing,junit",1,java specialized internships,Technology,"java,junit,mockito,testing",1,0,1,1,325
"java,junit,testing,mockito",2,java specialized internships,Technology,"java,junit,mockito,testing",1,-1,2,1,326
"mockito,java,junit,testing",1,java specialized internships,Technology,"java,junit,mockito,testing",1,0,1,1,327
"testing,junit,java",2,java specialized internships,Technology,"java,junit,mockito,testing",1,-1,2,1,328
"junit,mockito",2,java specialized internships,Technology,"java,junit,mockito,testing",0,-1,2,1,329
"java,junit",0,java specialized internships,Technology,"java,junit,mockito,testing",1,1,0,1,330
"testng,selenium,automation",2,java specialized internships,Technology,"java,selenium,automation,testng",0,-1,2,1,331
"testng,automation",0,java specialized internships,Technology,"java,selenium,automation,testng",0,1,0,1,332
"java,testng,selenium",0,java specialized internships,Technology,"java,selenium,automation,testng",1,1,0,1,333
